MOZ	-17.5	-149.8333	Temae	Moorea	French Polynesia	PF		+10.0	2887	10
TKV	-17.3333	-1.3833	Tatakoto	Tatakoto	French Polynesia	PF		+0.0		
TIH	-15.1197	-148.2308	Tikehau Atoll	Tikehau Atoll	French Polynesia	PF		-10.0	3937	6
AXA	18.2047	-63.055	Wallblake	Anguilla	Anguilla	AI		-4.0	3600	108
BLY	54.2333	-10.0	Belmullet	Belmullet	Ireland	IE		+0.0	1640	150
INQ	53.0333	-9.4333	Inisheer	Inisheer	Ireland	IE		+0.0	1850	40
CHE	51.95	-10.2166	Reenroe	Caherciveen	Ireland	IE		+0.0		
IIA	53.0919	-9.57	Inishmaan	Galloway	Ireland	IE		+0.0	2014	15
WEX	52.3333	-6.45	Castlebridge	Wexford	Ireland	IE		+0.0	2247	240
SNN	52.7	-8.9166	Shannon	Shannon	Ireland	IE		+0.0	10499	47
CFN	55.0441	-8.3411	Donegal	Carrickfinn	Ireland	IE		+0.0	2001	26
NOC	53.9127	-8.8119	Ireland West Airport Knock	Knock	Ireland	IE		+0.0	7546	665
CLB	53.8483	-9.2802	Castlebar	Castlebar	Ireland	IE		+0.0		
LTR	54.95	-7.7333	Letterkenny	Letterkenny	Ireland	IE		+0.0	1969	20
ORK	51.8472	-8.4972	Cork	Cork	Ireland	IE		+0.0	6998	502
KKY	52.65	-7.25	Kilkenny	Kilkenny	Ireland	IE		+0.0	3103	300
BYT	51.6833	-9.45	Bantry	Bantry	Ireland	IE		+0.0	1476	7
DUB	53.4213	-6.27	Dublin International	Dublin	Ireland	IE		+0.0	8652	242
WAT	52.1972	-7.0888	Waterford	Waterford	Ireland	IE		+0.0	4701	122
NNR	53.2166	9.4666	Connemara	Spiddal	Ireland	IE		+0.0		
GWY	53.3002	-8.9411	Carnmore	Galway	Ireland	IE		+0.0	4003	81
IOR	53.1066	-9.6533	Kilronan	Inishmore	Ireland	IE		+0.0	1430	30
SXL	54.2802	-8.5991	Sligo	Sligo	Ireland	IE		+0.0	3937	20
KIR	52.0666	-9.5	Kerry	Farranfore	Ireland	IE		+0.0	2100	77
RUN	-20.8833	55.5333	Gillot	St Denis de la Reunion	Reunion	RE		-4.0	8760	66
ZSE	-21.3333	55.4833	St Pierre dela Reunion	St Pierre dela Reunion	Reunion	RE		-4.0	4920	52
LOQ	-25.2	25.6666	Lobatse	Lobatse	Botswana	BW		-2.0	4921	4100
TLD	-22.8333	28.0	Limpopo Valley	Tuli Block	Botswana	BW		+0.0		
FRW	-21.16	27.4811	Francistown	Francistown	Botswana	BW		-2.0	7088	3281
SWX	-18.3833	21.8333	Shakawe	Shakawe	Botswana	BW		-2.0	6000	3380
JWA	-25.05	25.2833	Jwaneng	Jwaneng	Botswana	BW		-2.0	5495	3900
